N	Z	bn	b2n
85	53	2	2
84	54	2	2
83	55	2	2
82	56	2	2
81	57	2	2
80	58	2	2
79	59	2	2
78	60	2	2
77	61	2	2
76	62	1	1
75	63	1	1
74	64	1	1
73	65	0	0
72	66	0	0
88	51	1	1
87	52	2	2
86	53	2	2
85	54	2	2
84	55	2	2
83	56	2	2
82	57	2	2
81	58	2	2
80	59	2	2
79	60	2	2
78	61	2	2
77	62	2	1
76	63	1	1
75	64	1	1
74	65	1	0
73	66	0	0
89	51	1	1
88	52	2	2
87	53	2	2
86	54	2	2
85	55	2	2
84	56	2	2
83	57	2	2
82	58	2	2
81	59	2	2
80	60	2	2
79	61	2	2
78	62	2	2
77	63	1	1
76	64	1	1
75	65	1	1
74	66	0	0
73	67	0	0
89	52	1	1
88	53	1	1
87	54	2	2
86	55	2	2
85	56	2	2
84	57	2	2
83	58	2	2
82	59	2	2
81	60	2	2
80	61	2	2
79	62	2	2
78	63	2	1
77	64	2	1
76	65	1	1
75	66	1	0
74	67	0	0
90	52	1	1
89	53	1	2
88	54	2	2
87	55	2	2
86	56	2	2
85	57	2	2
84	58	2	2
83	59	2	2
82	60	2	2
81	61	2	2
80	62	2	2
79	63	2	2
78	64	2	2
